icd10cm_code,hcc,source_version
C792,18,cmshcc_v28_py2026
C7931,17,cmshcc_v28_py2026
C7932,17,cmshcc_v28_py2026
C7940,17,cmshcc_v28_py2026
C7949,17,cmshcc_v28_py2026
C7951,18,cmshcc_v28_py2026
C7952,18,cmshcc_v28_py2026
C7960,18,cmshcc_v28_py2026
C7961,18,cmshcc_v28_py2026
C7962,18,cmshcc_v28_py2026
C7963,18,cmshcc_v28_py2026
C7970,17,cmshcc_v28_py2026
C7971,17,cmshcc_v28_py2026
C7972,17,cmshcc_v28_py2026
C7981,18,cmshcc_v28_py2026
C7982,18,cmshcc_v28_py2026
C7989,18,cmshcc_v28_py2026
C799,18,cmshcc_v28_py2026
C7A00,21,cmshcc_v28_py2026
C7A010,21,cmshcc_v28_py2026
C7A011,21,cmshcc_v28_py2026
C7A012,21,cmshcc_v28_py2026
C7A019,21,cmshcc_v28_py2026
C7A020,21,cmshcc_v28_py2026
C7A021,21,cmshcc_v28_py2026
C7A022,21,cmshcc_v28_py2026
C7A023,21,cmshcc_v28_py2026
C7A024,21,cmshcc_v28_py2026
C7A025,21,cmshcc_v28_py2026
C7A026,21,cmshcc_v28_py2026
C7A029,21,cmshcc_v28_py2026
C7A090,21,cmshcc_v28_py2026
C7A091,21,cmshcc_v28_py2026
C7A092,21,cmshcc_v28_py2026
C7A093,21,cmshcc_v28_py2026
C7A094,21,cmshcc_v28_py2026
C7A095,21,cmshcc_v28_py2026
C7A096,21,cmshcc_v28_py2026
C7A098,21,cmshcc_v28_py2026
C7A1,21,cmshcc_v28_py2026
C7A8,21,cmshcc_v28_py2026
C7B00,17,cmshcc_v28_py2026
C7B01,17,cmshcc_v28_py2026
C7B02,17,cmshcc_v28_py2026
C7B03,17,cmshcc_v28_py2026
C7B04,17,cmshcc_v28_py2026
C7B09,17,cmshcc_v28_py2026
C7B1,17,cmshcc_v28_py2026
C7B8,17,cmshcc_v28_py2026
C800,18,cmshcc_v28_py2026
C801,23,cmshcc_v28_py2026
C802,23,cmshcc_v28_py2026
C8100,21,cmshcc_v28_py2026
C8101,21,cmshcc_v28_py2026
C8102,21,cmshcc_v28_py2026
C8103,21,cmshcc_v28_py2026
C8104,21,cmshcc_v28_py2026
C8105,21,cmshcc_v28_py2026
C8106,21,cmshcc_v28_py2026
C8107,21,cmshcc_v28_py2026
C8108,21,cmshcc_v28_py2026
C8109,21,cmshcc_v28_py2026
C810A,21,cmshcc_v28_py2026
C8110,21,cmshcc_v28_py2026
C8111,21,cmshcc_v28_py2026
C8112,21,cmshcc_v28_py2026
C8113,21,cmshcc_v28_py2026
C8114,21,cmshcc_v28_py2026
C8115,21,cmshcc_v28_py2026
C8116,21,cmshcc_v28_py2026
C8117,21,cmshcc_v28_py2026
C8118,21,cmshcc_v28_py2026
C8119,21,cmshcc_v28_py2026
C811A,21,cmshcc_v28_py2026
C8120,21,cmshcc_v28_py2026
C8121,21,cmshcc_v28_py2026
C8122,21,cmshcc_v28_py2026
C8123,21,cmshcc_v28_py2026
C8124,21,cmshcc_v28_py2026
C8125,21,cmshcc_v28_py2026
C8126,21,cmshcc_v28_py2026
C8127,21,cmshcc_v28_py2026
C8128,21,cmshcc_v28_py2026
C8129,21,cmshcc_v28_py2026
C812A,21,cmshcc_v28_py2026
C8130,21,cmshcc_v28_py2026
C8131,21,cmshcc_v28_py2026
C8132,21,cmshcc_v28_py2026
C8133,21,cmshcc_v28_py2026
C8134,21,cmshcc_v28_py2026
C8135,21,cmshcc_v28_py2026
C8136,21,cmshcc_v28_py2026
C8137,21,cmshcc_v28_py2026
C8138,21,cmshcc_v28_py2026
C8139,21,cmshcc_v28_py2026
